                                                                                IPDPS HALL OF FAME                                                                                
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Author				' 91 ' 92 ' 93 ' 94 ' 95 ' 96 ' 97 ' 98 ' 99 ' 00 ' 01 ' 02 ' 03 ' 04 ' 05 ' 06 ' 07 ' 08 ' 09 ' 10 ' 11 ' 12 ' 13 ' 14 ' 15 ' 16 ' 17 ' 18 ' 19 ' 20 

Lionel Eyraud-Dubois		|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  0  |  1  |  2  |  0  |  0  |  2  |  1  |  1  |  1  |  1       ||     12
Kamesh Madduri			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  4  |  1  |  2  |  0  |  0  |  0  |  0  |  2  |  1  |  1  |  1  |  0  |  0  |  0       ||     12
Joseph JáJá			|  0  |  0  |  1  |  2  |  0  |  2  |  0  |  1  |  1  |  0  |  1  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     12
J. Ramanujam			|  0  |  0  |  0  |  1  |  2  |  0  |  0  |  1  |  1  |  0  |  0  |  1  |  1  |  1  |  0  |  1  |  0  |  1  |  0  |  1  |  0  |  0  |  0  |  1  |  0  |  0  |  0  |  0  |  0  |  0       ||     12
Ian T. Foster			|  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  3  |  0  |  1  |  1  |  0  |  0  |  0  |  2  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  2  |  1       ||     12
Frank Mueller			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  1  |  0  |  1  |  0  |  0  |  0  |  2  |  0  |  0  |  1  |  0  |  1  |  0  |  1  |  0  |  1  |  1  |  1  |  0  |  1       ||     12
Daniel G. Chavarría-Miranda		|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  0  |  1  |  0  |  1  |  1  |  2  |  1  |  0  |  0  |  0  |  1  |  1  |  1  |  0  |  1  |  0  |  0       ||     12
Cheng-Zhong Xu			|  0  |  0  |  0  |  0  |  1  |  0  |  1  |  0  |  0  |  1  |  2  |  1  |  0  |  1  |  0  |  1  |  0  |  3  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0       ||     12
Arnold L. Rosenberg		|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  0  |  1  |  0  |  2  |  0  |  1  |  0  |  2  |  0  |  3  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     12
Wei-keng Liao			|  0  |  0  |  0  |  0  |  0  |  1  |  0  |  1  |  1  |  1  |  0  |  0  |  1  |  2  |  1  |  1  |  2  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     11
Scott Klasky			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  1  |  2  |  2  |  2  |  1  |  1  |  0  |  0  |  1  |  0  |  0       ||     11
Minyi Guo			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  2  |  0  |  0  |  1  |  4  |  3       ||     11
Mary W. Hall			|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  0  |  0  |  1  |  2  |  3  |  1  |  0  |  0  |  0  |  0  |  1  |  1  |  1  |  0  |  0  |  0  |  0       ||     11
Keqin Li				|  0  |  0  |  0  |  0  |  0  |  0  |  0  |  1  |  2  |  2  |  2  |  0  |  1  |  0  |  0  |  0  |  2  |  1  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0  |  0       ||     11
